name,numbers,birthday,addresses,email,notes

Max Pain,"+1234567890,+0987654321",01.01.1983,"first address,second address,third address",lololololo@gmail.com,"They were all dead. The last shot put an end to this story. I took my finger off the trigger - it was over.|tags:|max pain 1 tag/|max pain quotes,The law of the pit. No matter how much you climbed up and back - you will fly off in an instant.|tags:|max pain quote/|max pain quotes,"

Whir key,+380785990388,01.12.2005,None,None,"I added this contact just to test my finding contacts function|tags:|test contacts,"

Rum,"+3806788275,+8789277,+098726752123",01.01.2001,None,None,"Pirates love rum|tags:|lovetag/|rumtag1,"

Beer,+380674889277,None,None,None,"Everyone loves beer|tags:|lovetag/|beertag1,"

Vodka,"+12345678,+98765432,+8309850398",01.02.1978,VodkaTown,None,"aaaNOTEaaa|tags:|aaaTAGaaa/|bbbTAGbbb,test_note_1488|tags:|aaaTAGaaa,"
